channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
TheEllenShow,24,1,1.0,2.0,1.0,1.0,False,False,False
CBC News,25,1,0.0,0.0,1.0,1.0,False,False,False
TED-Ed,27,1,1.0,2.0,1.0,2.0,False,False,False
Klossy,22,1,0.0,1.0,0.0,0.0,False,False,False
Michael Dapaah,23,1,0.0,2.0,0.0,1.0,False,False,False
Guava Juice,24,1,1.0,3.0,3.0,3.0,False,False,False
Refinery29,22,1,0.0,0.0,0.0,0.0,False,False,False
FBE,24,1,1.0,2.0,3.0,3.0,False,False,False
LustreLux,26,1,0.0,1.0,1.0,1.0,False,False,False
Movieclips Trailers,1,1,1.0,2.0,2.0,3.0,False,False,False
MBCentertainment,24,1,1.0,2.0,1.0,2.0,False,False,False
John Mayer,10,1,1.0,3.0,3.0,3.0,False,False,False
BBC Radio 1,10,1,0.0,2.0,2.0,1.0,False,False,False
How to DAD,22,1,0.0,1.0,0.0,1.0,False,False,False
Kristin Johns,22,1,0.0,1.0,1.0,1.0,False,False,False
nickjonas,10,1,0.0,0.0,0.0,0.0,False,False,False
HellthyJunkFood,24,1,1.0,2.0,3.0,2.0,False,False,False
SpaceX,28,0,1.0,2.0,1.0,1.0,False,False,False
SamSmithWorldVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
ignoramusky,15,1,0.0,0.0,0.0,0.0,False,False,False
Daisy Marquez,22,1,0.0,2.0,3.0,1.0,False,False,False
HOTSPOTATL,24,1,0.0,0.0,0.0,0.0,False,False,False
Sony Pictures Entertainment,24,1,1.0,3.0,3.0,3.0,False,False,False
Hamilton: An American Musical,1,0,1.0,2.0,0.0,2.0,False,False,False
CAguileraVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
MyHarto,23,1,0.0,1.0,2.0,1.0,False,False,False
BuzzFeedBlue,22,1,1.0,2.0,3.0,2.0,False,False,False
Cole and Marmalade,15,1,0.0,1.0,1.0,1.0,False,False,False
nigahiga,24,1,1.0,3.0,3.0,3.0,False,False,False
Half as Interesting,27,1,0.0,1.0,1.0,2.0,False,False,False
Saturday Night Live,24,1,1.0,2.0,3.0,3.0,False,False,False
Variety,24,1,0.0,0.0,0.0,0.0,False,False,False
BBC News,25,1,0.0,0.0,0.0,0.0,False,False,False
Kylie Cosmetics,22,1,1.0,3.0,3.0,2.0,False,False,False
How To Make Everything,27,1,0.0,1.0,1.0,1.0,False,False,False
Tegan and Sara,10,1,0.0,0.0,0.0,0.0,False,False,False
the Hacksmith,28,1,1.0,2.0,2.0,2.0,False,False,False
Peter McKinnon,22,1,0.0,2.0,1.0,2.0,False,False,False
Cardi B,10,1,1.0,3.0,3.0,3.0,False,False,False
fosterthepeopleVEVO,10,1,0.0,1.0,1.0,1.0,False,False,False
CAguileraVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
WOWPresents,24,1,0.0,2.0,1.0,1.0,False,False,False
USA TODAY,25,1,0.0,0.0,0.0,0.0,False,False,False
